Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 12:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 1:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,L8477 10nM
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,48.2,43.00,98.7,1.2,0.0,105.6
248,97.40,595.9,,82.3,64.19,31.1,5.5,3.4,119.4
278,127.45,694.7,,116.1,66.91,43.2,2.8,4.6,161.4
288,45.02,236.8,,42.0,67.82,45.5,0.9,1.6,57.6
320,34.96,165.3,,35.3,70.54,48.2,0.7,1.3,46.5
329,31.49,145.0,,32.5,71.22,46.9,0.6,1.2,42.3
339,32.99,147.7,,34.8,71.99,46.8,0.7,1.3,44.9
348,54.91,239.4,,59.2,72.71,47.0,1.2,2.1,75.5
362,27.94,116.9,,31.1,73.89,44.8,0.6,1.1,39.1
371,25.22,102.9,,28.7,74.62,44.6,0.6,1.0,35.7
389,27.75,108.0,,32.9,76.07,44.8,0.7,1.1,40.1
405,32.84,122.9,,40.0,77.21,45.9,0.8,1.4,48.0
438,34.09,118.0,,42.6,79.07,48.2,0.8,1.4,50.0
468,73.42,237.7,,94.0,80.79,53.2,1.7,3.1,107.7
492,59.14,182.1,,77.1,82.15,57.5,1.3,2.5,86.9
512,56.93,168.4,,76.1,83.19,61.1,1.2,2.4,84.7
540,37.15,104.3,,51.8,84.51,61.9,0.8,1.6,56.7
559,33.69,91.4,,48.3,85.42,67.5,0.7,1.5,52.3
580,67.54,176.4,,100.1,86.46,155.4,0.9,3.0,107.0
603,29.54,74.2,,45.0,87.50,71.9,0.6,1.3,47.6
684,147.01,325.5,,222.6,90.14,92.5,2.4,6.5,228.2
719,77.23,162.7,,118.1,90.91,101.3,1.1,3.4,120.0
966,224.35,352.1,,396.4,94.26,148.3,2.9,11.0,388.2
"1,189",123.54,157.4,,230.9,95.94,184.8,1.2,6.3,222.1
"1,338",96.54,109.3,,185.6,96.90,203.5,0.9,5.0,176.8
"1,417",69.35,74.2,,135.3,97.39,213.8,0.6,3.6,128.2
"1,750",450.59,390.0,,935.5,99.53,234.2,6.1,24.5,867.0
"4,137",18.42,6.7,,41.4,105.74,35.2,1.2,1.0,36.1
"5,003",10.48,3.2,,23.6,106.83,28.4,0.9,0.6,20.4
"5,798",21.24,5.5,,48.1,107.83,22.6,3.5,1.2,41.1
"10,380",75.00,10.9,Upper Marker,188.7,113.00,114.5,4.4,0.0,153.7
"13,227",0.00,0.0,,3.7,116.08,6.3,0.7,0.0,3.0
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,50.71,56.68,0.2,0,123,0.5,0.24,2.9,32768
Region 2,59.90,90.65,"1,904.9",44,454,30.0,"1,338.02","5,210.2",255
Region 3,59.90,110.42,"4,355.4",100,"1,245",79.6,"2,669.80","6,663.8",16711680
 
 
Sample Name,L8583 10nM
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,47.4,43.00,94.0,1.2,0.0,102.9
124,8.34,101.8,,4.2,52.92,9.5,0.9,0.2,7.4
290,337.69,"1,764.0",,273.7,67.99,47.5,9.1,9.1,371.6
307,58.97,291.1,,49.8,69.44,48.7,1.0,1.6,66.1
313,59.30,287.5,,50.7,69.90,48.9,1.0,1.6,67.0
350,34.54,149.4,,32.3,72.93,48.2,0.6,1.0,40.9
375,32.46,131.2,,32.2,74.92,46.5,0.6,1.0,39.6
429,39.80,140.5,,42.7,78.59,46.3,0.9,1.2,50.0
464,90.53,295.9,,99.7,80.54,55.9,1.8,2.8,113.9
541,68.93,193.1,,83.1,84.57,61.9,1.3,2.2,90.4
565,54.46,146.0,,68.1,85.74,66.6,1.0,1.8,73.0
596,37.90,96.3,,49.6,87.24,66.6,0.7,1.3,52.3
709,235.64,503.6,,309.0,90.77,100.6,3.4,7.7,312.7
765,70.00,138.5,,95.0,91.54,109.5,0.8,2.3,95.3
"1,216",444.33,553.8,,719.8,96.11,214.4,4.3,16.9,687.5
"1,747",529.85,459.4,,948.1,99.51,293.2,3.4,21.5,874.2
"1,832",670.35,554.3,,"1,218.1",100.05,289.7,9.0,27.5,"1,117.0"
"6,707",1.88,0.4,,3.7,108.97,6.9,0.6,0.3,3.1
"10,380",75.00,10.9,Upper Marker,162.7,113.00,107.3,3.9,0.0,131.9
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,50.71,56.68,5.0,0,124,1.0,5.67,69.3,32768
Region 2,59.90,90.65,"1,883.1",39,451,30.3,"1,545.86","6,063.2",255
Region 3,59.90,110.42,"4,750.2",100,"1,304",70.0,"3,349.49","7,961.2",16711680
 
